+ python train.py --dataset csv --csv_train /Data/train.csv --csv_classes /Data/classes.csv --csv_val /Data/val.csv --depth 101 --epochs 200
CUDA available: True
Num training images: 2920
Epoch: 0 | Iteration: 0 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 1 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 2 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 3 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 4 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 5 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 6 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 7 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 8 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 9 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 10 | Classification loss: 0.05783 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 11 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 12 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 13 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 14 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 15 | Classification loss: 0.05781 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 16 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 17 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05783
Epoch: 0 | Iteration: 18 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05782
Epoch: 0 | Iteration: 19 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05782
Epoch: 0 | Iteration: 20 | Classification loss: 0.05782 | Regression loss: 0.00000 | Running loss: 0.05782
